option_type,delta,gamma,theta,vega,iv,return_exp
PUT,-0.89856,0.00155,-0.19633,0.24783,0.45872,-0.1283555154522894
PUT,-0.87812,0.00478,-0.03534,0.23515,0.35524,-1.0
PUT,-0.81754,0.00022,-0.26157,0.45196,0.85421,-0.1431293302540413
PUT,-0.82706,0.00028,-0.15294,1.29482,0.46975,1.163395709721588
PUT,-0.87314,0.00828,-0.05842,0.09993,0.47532,-0.9104294478527613
PUT,-0.84567,4e-05,-0.06563,0.29462,1.00498,-0.1927173999840294
PUT,-0.8277,0.00055,-0.06965,0.15441,0.80324,0.2460912052117265
PUT,-0.85359,0.00353,-0.13008,0.06256,1.0947,-0.7921847246891653
PUT,-0.84089,0.00138,-0.16326,0.60927,0.47131,0.1341974627688912
PUT,-0.81493,0.00137,-0.04166,0.57506,0.39869,-1.0
PUT,-0.88862,0.00015,-0.24513,0.28928,0.64046,0.1763253609610936
PUT,-0.87678,6e-05,-0.03021,0.06781,1.18295,-0.0479253112033195
PUT,-0.86705,0.00124,-0.18934,0.61968,0.40826,2.7018053481742905
PUT,-0.8117,0.00643,-0.21644,0.19976,0.54042,-0.1532051282051282
PUT,-0.83912,0.00412,-0.06319,0.28524,0.39076,0.1667323610563658
PUT,-0.87347,0.00127,-0.03952,0.20053,0.43088,-0.3460648148148149
PUT,-0.89565,8e-05,-0.46824,0.26723,0.76163,-0.4159666310990398
PUT,-0.88013,0.00057,-0.13258,0.51902,0.43199,-0.5339783978397842
PUT,-0.87256,0.00061,-0.69103,0.07598,1.58395,0.1048945637454051
PUT,-0.81403,0.0039,-0.16553,0.54186,0.34219,-1.0
PUT,-0.82294,0.00776,-0.08659,0.14727,0.52896,-0.1522984676882079
PUT,-0.80686,0.00351,-0.678,0.11697,1.75592,-0.452429906542056
PUT,-0.80764,0.01222,-0.2623,0.13167,0.46247,1.629304812834225
PUT,-0.88436,0.00235,-0.24746,0.29202,0.5568,-0.3825823398666398
PUT,-0.85841,0.00345,-0.21177,0.28457,0.51004,-1.0
PUT,-0.87901,0.00214,-0.09745,0.10426,0.6863,0.2352046360014485
PUT,-0.86829,0.0009,-0.14257,0.73418,0.38481,2.191517055655296
PUT,-0.86768,0.00016,-0.38898,0.27814,0.88874,0.0711508338708191
PUT,-0.8376,0.00013,-0.14975,0.10214,1.58963,-0.1354526188313656
PUT,-0.89365,0.02073,-0.34988,0.02417,0.5741,0.0009389671361498
PUT,-0.84877,0.00091,-0.06788,0.218,0.6211,0.4774689532820817
PUT,-0.87155,0.00524,-0.15217,0.14141,0.54824,-0.2062157221206584
PUT,-0.81462,0.00169,-0.04355,0.44247,0.47234,0.5954802259887005
PUT,-0.87247,0.00031,-0.74041,0.06994,2.1955,-0.034075393291778
PUT,-0.86069,5e-05,-0.09021,0.12154,0.99201,-0.2269274163219256
PUT,-0.87182,0.00177,-0.04342,0.2321,0.41026,-0.602987647227808
PUT,-0.88287,0.00564,-0.4661,0.03562,1.27642,0.60429242119383
PUT,-0.85522,0.00623,-0.08288,0.12188,0.58163,1.0946308724832212
PUT,-0.87691,0.00593,-0.11444,0.08804,0.57678,0.4527832351015065
PUT,-0.80003,7e-05,-0.11079,1.04827,0.52127,0.7170421306512035
PUT,-0.88782,0.00183,-0.24435,0.24387,0.52001,0.1708974064723435
PUT,-0.85575,0.00263,-0.04916,0.2882,0.39539,0.0686765149231233
PUT,-0.8046,0.00042,-0.05397,0.3801,0.57338,0.5441361747754991
PUT,-0.88742,0.0002,-0.10476,0.08905,0.82117,0.0077750206782464
PUT,-0.88116,0.00226,-0.03511,0.15495,0.53998,0.2948338452946102
PUT,-0.80223,0.00272,-0.29175,0.45322,0.55101,-0.6124531835205994
PUT,-0.82067,0.00077,-0.36689,0.05749,1.93082,-0.2489596083231335
PUT,-0.83275,0.0004,-0.61038,0.04487,3.05781,0.0603454894433782
PUT,-0.88398,0.00486,-0.48785,0.13404,0.49957,-0.8477486910994768
PUT,-0.83646,0.00125,-0.0737,0.09623,0.92403,-0.3432765707574869
PUT,-0.85915,0.00224,-0.0309,0.15821,0.58887,-0.0307036247334755
PUT,-0.82072,0.00068,-0.08284,0.33656,0.63739,0.5346307798481713
PUT,-0.879,0.00667,-1.11965,0.0181,2.56629,-0.0327964860907761
PUT,-0.82033,0.00307,-0.46059,0.37711,0.53139,0.8520670391061451
PUT,-0.84505,0.00521,-0.0558,0.2039,0.40541,-0.4621814475025484
PUT,-0.86007,0.00012,-0.41834,0.27874,0.95276,-0.2702370500438983
PUT,-0.81962,0.00059,-0.15306,1.45919,0.41968,1.5033995985236028
PUT,-0.82634,0.00409,-0.36304,0.3158,0.50425,-0.8923504867872043
PUT,-0.88485,0.00018,-0.12525,0.0545,1.32567,-0.1332765957446809
PUT,-0.86759,4e-05,-0.06056,0.14485,0.68682,-1.0
PUT,-0.88618,0.00445,-0.4991,0.14672,0.55912,-0.535972754363559
PUT,-0.84158,0.00181,-0.15,0.45579,0.49483,-0.8378898592051327
PUT,-0.87897,0.00026,-0.07742,0.22217,0.51617,-0.871751090874597
PUT,-0.8333,0.00191,-0.26823,0.46137,0.54492,-0.1781301257517769
PUT,-0.86037,0.0016,-0.04009,0.13934,0.65283,0.298860103626943
PUT,-0.88754,0.00106,-0.31175,0.40188,0.50909,2.95441720312286
PUT,-0.86272,0.00215,-0.03277,0.17686,0.51056,0.4706952185391612
PUT,-0.82755,0.003,-0.26938,0.42644,0.4526,0.2480862533692721
PUT,-0.83596,0.00015,-0.09463,0.31968,0.63214,0.4334164588528677
PUT,-0.88108,0.00112,-0.0979,0.16993,0.5863,0.956712460833936
PUT,-0.86802,0.00013,-0.10044,0.11009,0.8017,-0.2621735886595376
PUT,-0.82953,0.0027,-0.09123,0.31368,0.51087,-1.0
PUT,-0.82245,0.00123,-0.20314,0.59913,0.57509,-0.1208047105004909
PUT,-0.83739,0.00018,-0.33246,0.10055,1.53657,-0.1927997428479589
PUT,-0.86311,0.07401,-0.18481,0.01393,0.45519,-0.0540145985401432
PUT,-0.89465,0.00075,-0.48042,0.04116,1.85263,0.3029072956664836
PUT,-0.80251,0.00023,-0.26108,0.19984,1.20052,0.1366458161217987
PUT,-0.88961,0.00272,-0.09492,0.13173,0.52147,-0.4147172734314489
PUT,-0.80729,0.00126,-0.03953,0.53529,0.42556,-1.0
